"classifiedTitle","searchResultsAttributeValue","searchResultsAttributeValue 2","classified-price-container","searchResultsLocationValue","searchResultThumbnailPlaceholder src"
"Emre emlaktan kiralık. Daire 1 /1. Doğalgazlı","90","2+1","15.000 TL","YunusemreMerkez",""
"ATA GAYRİMENKULDEN 1+1 KİRALIK DAİRE","60","1+1","12.500 TL","YunusemreMerkez",""
"Faturalar Dahil Eşyalı Kiralık Daire","86","1+1","12.500 TL","ŞehzadelerMerkez","https://s0.shbdn.com/assets/images/iconHasMegaPhotoLarge:d9417b1d5ff2b476ea61565150588a96.png"
"75.yıl mahallesinde komple sıfırdan yapılı 3+1sahibinden kiralık","105","3+1","22.000 TL","YunusemreMerkez","https://s0.shbdn.com/assets/images/iconHasMegaPhotoLarge:d9417b1d5ff2b476ea61565150588a96.png"
"MANİSA GÜZELYURTTA SİTE İÇİNDE KİRALIK GENİŞ DAİRE","170","3+1","30.000 TL","YunusemreMerkez",""
"ŞEHZADELER MAH.","120","3+1","17.000 TL","ŞehzadelerMerkez","https://s0.shbdn.com/assets/images/iconHasMegaPhotoLarge:d9417b1d5ff2b476ea61565150588a96.png"
"ev arkadaşı","100","3+1","4.500 TL","YunusemreMerkez",""
"Yeni hükümet konağı karşısı","85","3+1","7.500 TL","Soma","https://s0.shbdn.com/assets/images/iconHasMegaPhotoLarge:d9417b1d5ff2b476ea61565150588a96.png"
"ACARLAR MAHALLESİ NEFİS KONUMDA BAKIMLI KİRALIK 3+1","150","3+1","13.250 TL","TurgutluSanayi",""
"SAHİBİNDEN KİRALIK","96","2+1","7.000 TL","Kırkağaç","https://s0.shbdn.com/assets/images/iconHasMegaPhotoLarge:d9417b1d5ff2b476ea61565150588a96.png"
"KARE'den KARAALİ VİLLALAR BÖLGESİNDE EŞYALI 1+1 DAİRE","80","2+1","14.000 TL","YunusemreMerkez",""
"Manisa Alaşehir Kurtuluş Mah.de M.Akif Ersoy Ortaokulu Karşısı","150","3+1","14.000 TL","Alaşehir",""
"Eşyalı Geniş 1+1","85","1+1","15.500 TL","YunusemreMerkez",""
"Manisa sürat yolu üzerinde akkanlı emlaktan kiralık 3+1 daire","110","3+1","13.000 TL","YunusemreMerkez",""
"YASİN EMLAKTAN KIRALIK ŞEHZADELER NİŞANCIPAŞA MH 6.KAT 2+1 100M2","105","2+1","9.000 TL","ŞehzadelerMerkez",""
"Manisa Meydan Projesinde 1+1 Eşyalı Kiralık Daire","45","1+1","17.500 TL","YunusemreMerkez",""
"1.ANAFARTALAR MAHALLESİ DERVİŞALİ CAMİ YAKINI KİRALIK 4+1 DAİRE","120","4+1","15.000 TL","ŞehzadelerMerkez",""
"Alaşehir Merkezde Full Eşyalı Kiralık Daire","110","2+1","12.000 TL","Alaşehir",""
"MANİSA MEYDAN KİRALIK 2+1","71","2+1","23.000 TL","YunusemreMerkez",""
"REŞATBEY MAH. KİRALIK 3+1 DAİRE","135","3+1","13.000 TL","AkhisarFevzipaşa","https://s0.shbdn.com/assets/images/iconHasMegaPhotoLarge:d9417b1d5ff2b476ea61565150588a96.png"
"SERHAT EMLAKTAN KEÇİLİKÖYDE KİRALIK DAİRE","90","2+1","13.000 TL","YunusemreMerkez",""
"JEmlak'tan Eşyalı Kiralık Daire","70","1+1","15.000 TL","TurgutluSanayi",""
"Bölgenin Tek AVM'si Rainbow Life'da Kiralık İş Yerleri & Ofisler","92","1+1","25.000 TL","YunusemreMerkez",""
"ATATÜRK MAH KİRALIK 2+1 FULL ÖZELLİKLİ","100","3+1","11.000 TL","YunusemreMerkez",""
"YÖRÜK MH GÜMÜŞÇAYINA YAKIN ARAKAT DOĞALGAZLI KİRALIK KOÇ EMLAK","145","3+1","10.000 TL","SalihliZafer",""
"Saruhanlı'da 3+1 kiralık,arakat doğalgazlı daire","140","3+1","11.500 TL","Saruhanlı",""
"Ergenekon mah. Sahibinden kiralık eşyalı daire","125","3+1","25.000 TL","TurgutluErgenekon","https://s0.shbdn.com/assets/images/iconHasMegaPhotoLarge:d9417b1d5ff2b476ea61565150588a96.png"
"DEKA LİFE'DAN Villalar bölgesinde 2+1 Eşyalı kiralık Daire","85","2+1","25.000 TL","YunusemreMerkez",""
"İstasyon Girişinde Doğalgazlı Full Eşyalı 2+1 Kiralık Daire","105","2+1","13.500 TL","Soma",""
"1.etap tokide 2+1 kiralik daire","82","2+1","7.500 TL","Kula","https://s0.shbdn.com/assets/images/iconHasMegaPhotoLarge:d9417b1d5ff2b476ea61565150588a96.png"
"BALKONLU-DOĞALGAZLI BOŞ KİRALIK 1+1 DAİRE-CAN EMLAK","55","1+1","7.000 TL","SalihliZafer",""
"YILDIRIM YAPI GAYRİMENKUL ÇARŞI MERKEZİNDE EŞYALI KİRALIK DAİRE","100","2+1","10.000 TL","Alaşehir",""
"AK EMLAK'TAN ISTASYON CİVARI ÖNÜ PARK 2+1 GENİŞ ARAKAT","105","2+1","12.000 TL","YunusemreMerkez",""
"sahibim 3+1 kiralık daire","165","3+1","12.500 TL","YunusemreMerkez","https://s0.shbdn.com/assets/images/iconHasMegaPhotoLarge:d9417b1d5ff2b476ea61565150588a96.png"
"SALİHLİ MERKEZDE 1+0-1+1-2+1 EŞYALI KİRALIK DAİRELER","65","1+1","12.500 TL","SalihliZafer",""
"Merkezi konumda açık otoparklı site içinde kiralık daire","130","3+1","11.500 TL","SalihliZafer","https://s0.shbdn.com/assets/images/iconHasMegaPhotoLarge:d9417b1d5ff2b476ea61565150588a96.png"
"AYTAÇ EMLAKTAN MURADIYE'DE GENİŞ KULLANIŞLI KİRALIK 1+1 DAİRE","70","1+1","10.000 TL","YunusemreMerkez",""
"Sahibinden Eşyalı 3+1 merkezde bulvar arkası karakol yanı","115","3+1","16.000 TL","TurgutluErgenekon","https://s0.shbdn.com/assets/images/iconHasMegaPhotoLarge:d9417b1d5ff2b476ea61565150588a96.png"
"DULKADİR EMLAK'TAN MURADİYE MAH. LOFT 1+1 DAİRE","60","1+1","11.000 TL","YunusemreMerkez",""
"ALTINŞEHİRDEN 2.ANAFARTALARDA 2+1 SIFIR KİRALIK DAİRE","100","2+1","20.000 TL","ŞehzadelerMerkez",""
"VEGA'DAN KARAALİ'DE ÖĞRENCİYE BEKARA KİRALIK 1+1 EŞYALI DAİRELER","65","1+1","12.500 TL","YunusemreMerkez",""
"Manisa uncubozköy Mh'de kiralık 5+1 geniş dubleks(daire-ofis)","240","5+1","24.000 TL","YunusemreMerkez",""
"CANDAŞ EMLAK'TAN ADLİYE YOLU ÜZERİNDE EŞYALI KİRALIK 2+1 ARAKAT","95","2+1","14.000 TL","AkhisarHürriyet",""
"Var Açık Otopark Lüx Son 3 gün! 1+1 Konut Merkezi Konum","55","1+1","22.000 TL","YunusemreMerkez","https://s0.shbdn.com/assets/images/iconHasMegaPhotoLarge:d9417b1d5ff2b476ea61565150588a96.png"
"UĞUR GAYRİMENKUL OFİSİNDEN KİRALIK 1+1 DAİRE","65","1+1","11.000 TL","YunusemreMerkez",""
"EGENET GAYRİMENKUL'DEN 2+1 HAVUZ MANZARALI EŞYALI DAİRE","70","2+1","27.500 TL","YunusemreMerkez",""
"Manisa Güzelyurt Mahallesi,nde Site İçi Kiralık 1+1 Daire","68","1+1","10.000 TL","YunusemreMerkez",""
"YARHASANLAR MAHALLESİ 2+1 FULL 1.BALKON","100","2+1","13.500 TL","ŞehzadelerMerkez",""
"KİRALIK 3+1 NET 140 M2 DOĞALGAZLI DAİRE","150","3+1","16.000 TL","Salihli",""
"MANİSA YUNUSEMRE MURADİYE'DE KİRALIK 2+1 LÜKS DAİRE","90","2+1","9.000 TL","YunusemreMerkez",""
"Karaali Villa'lar Bölgesinde 1+1 Eşyalı KİRALIK Dairemiz!!!","55","1+1","15.000 TL","YunusemreMerkez",""